Commercial,Ville,Région,Client,Date de commande,Article,Quantité,Prix,Chiffre d'affaire,Bénéfice
Patrick Graham,California,Ouest,Evelyn Elliott,3/1/2016,Widgets,3,"53,35","160,05",18
Frances Warren,Minnesota,Est,Mary Nelson,3/1/2016,Things,8,"17,83","142,64",28
Randy Watson,New York,Est,Mark Parker,3/1/2016,Things,5,"17,83","89,15","17,5"
Randy Watson,Indiana,Est,Victor Bell,3/1/2016,Stuff,3,"16,32","48,96",9
Randy Watson,Minnesota,Est,Walter Kennedy,3/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Anthony Berry,3/1/2016,Stuff,6,"16,32","97,92",18
Randy Watson,Minnesota,Est,William Payne,3/1/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,Washington,Ouest,Joseph Dixon,3/1/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,California,Ouest,Andrew Adams,4/1/2016,Things,1,"17,83","17,83","3,5"
Frances Warren,Alabama,Est,Cheryl Henderson,4/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Alabama,Est,Carlos Stephens,4/1/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Daniel Perez,4/1/2016,Junk,3,"12,42","37,26",6
Frances Warren,Minnesota,Est,Carl Howard,4/1/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Minnesota,Est,Alice Davis,4/1/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,Oregon,Ouest,Michael Cruz,4/1/2016,Things,2,"17,83","35,66",7
Sara Snyder,New York,Est,Anthony Berry,4/1/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Betty Stewart,4/1/2016,Junk,10,"12,42","124,2",20
Diane Gonzalez,California,Ouest,Jacqueline Little,4/1/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Oregon,Ouest,Anna Garcia,4/1/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,New York,Est,Cheryl Riley,4/1/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Alabama,Est,William Collins,4/1/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Alabama,Est,Jane Watkins,5/1/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Minnesota,Est,Walter Kennedy,5/1/2016,Widgets,8,"53,35","426,8",48
Diane Gonzalez,Oregon,Ouest,Phillip Harrison,5/1/2016,Junk,2,"12,42","24,84",4
Diane Gonzalez,Oregon,Ouest,Linda Wagner,5/1/2016,Widgets,6,"53,35","320,1",36
Randy Watson,New York,Est,Christina Oliver,5/1/2016,Stuff,9,"16,32","146,88",27
Sara Snyder,New York,Est,Joseph Ryan,5/1/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,Oregon,Ouest,Henry Stanley,5/1/2016,Things,5,"17,83","89,15","17,5"
Diane Gonzalez,California,Ouest,Diana Hamilton,5/1/2016,Junk,4,"12,42","49,68",8
Frances Warren,Minnesota,Est,Kevin Torres,5/1/2016,Things,10,"17,83","178,3",35
Randy Watson,Minnesota,Est,Jean Torres,5/1/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Billy Reed,5/1/2016,Stuff,5,"16,32","81,6",15
Frances Warren,Indiana,Est,Dorothy Baker,5/1/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,Minnesota,Est,Brandon King,5/1/2016,Things,5,"17,83","89,15","17,5"
Frances Warren,New York,Est,Ralph Gomez,5/1/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Indiana,Est,Stephen Welch,5/1/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,California,Ouest,Harold Duncan,6/1/2016,Things,1,"17,83","17,83","3,5"
Frances Warren,New York,Est,Mark Alexander,6/1/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,Indiana,Est,Heather Larson,6/1/2016,Junk,6,"12,42","74,52",12
Sara Snyder,Minnesota,Est,Carl Howard,6/1/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Rose Matthews,6/1/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Ralph Gomez,6/1/2016,Junk,3,"12,42","37,26",6
Patrick Graham,California,Ouest,Timothy Gonzales,6/1/2016,Stuff,6,"16,32","97,92",18
Randy Watson,Minnesota,Est,Craig Collins,6/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Frank Murphy,6/1/2016,Junk,1,"12,42","12,42",2
Randy Watson,Minnesota,Est,Lillian Burke,6/1/2016,Widgets,7,"53,35","373,45",42
Randy Watson,Minnesota,Est,Nancy Meyer,6/1/2016,Junk,1,"12,42","12,42",2
Frances Warren,Minnesota,Est,Jerry Butler,6/1/2016,Things,6,"17,83","106,98",21
Sara Snyder,Minnesota,Est,Harold Rodriguez,6/1/2016,Things,4,"17,83","71,32",14
Sara Snyder,New York,Est,Eric Stanley,7/1/2016,Junk,1,"12,42","12,42",2
Frances Warren,Minnesota,Est,Joe Russell,7/1/2016,Junk,8,"12,42","99,36",16
Patrick Graham,California,Ouest,Gerald Mcdonald,7/1/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Ruth Kennedy,7/1/2016,Widgets,9,"53,35","480,15",54
Diane Gonzalez,Oregon,Ouest,Anna Garcia,7/1/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Oregon,Ouest,Gloria Mcdonald,7/1/2016,Junk,1,"12,42","12,42",2
Patrick Graham,California,Ouest,Adam Martin,7/1/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Washington,Ouest,Philip Rodriguez,7/1/2016,Things,4,"17,83","71,32",14
Randy Watson,Minnesota,Est,Steven Kelly,7/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Ruth Burton,7/1/2016,Junk,6,"12,42","74,52",12
Patrick Graham,California,Ouest,Rachel Stanley,7/1/2016,Junk,3,"12,42","37,26",6
Diane Gonzalez,California,Ouest,Brenda Nelson,8/1/2016,Things,8,"17,83","142,64",28
Diane Gonzalez,Oregon,Ouest,Edward Taylor,8/1/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Washington,Ouest,Philip Dean,8/1/2016,Things,3,"17,83","53,49","10,5"
Frances Warren,Minnesota,Est,Jerry Butler,8/1/2016,Widgets,7,"53,35","373,45",42
Diane Gonzalez,California,Ouest,Laura Gutierrez,8/1/2016,Widgets,7,"53,35","373,45",42
Frances Warren,Minnesota,Est,Andrew Howard,8/1/2016,Stuff,1,"16,32","16,32",3
Frances Warren,New York,Est,Joe Ryan,8/1/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Minnesota,Est,Steven Miller,8/1/2016,Things,5,"17,83","89,15","17,5"
Randy Watson,New York,Est,Christina Little,9/1/2016,Stuff,7,"16,32","114,24",21
Patrick Graham,Nevada,Ouest,Doris Diaz,9/1/2016,Things,4,"17,83","71,32",14
Sara Snyder,Minnesota,Est,Charles Ray,9/1/2016,Things,10,"17,83","178,3",35
Patrick Graham,Washington,Ouest,Margaret James,9/1/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Virginia Alvarez,9/1/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,California,Ouest,Frank Garrett,9/1/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,Indiana,Est,Laura Wells,9/1/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Oregon,Ouest,Edward Taylor,9/1/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Alabama,Est,Sara Hawkins,9/1/2016,Stuff,8,"16,32","130,56",24
Patrick Graham,Oregon,Ouest,Cynthia Matthews,10/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Kelly Gomez,10/1/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Minnesota,Est,Raymond Young,10/1/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Oregon,Ouest,Billy Scott,10/1/2016,Stuff,4,"16,32","65,28",12
Diane Gonzalez,Washington,Ouest,Arthur James,10/1/2016,Things,10,"17,83","178,3",35
Randy Watson,New York,Est,Ronald Kim,10/1/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Harold Daniels,10/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,California,Ouest,Adam Martin,10/1/2016,Things,2,"17,83","35,66",7
Sara Snyder,Minnesota,Est,Phillip Young,10/1/2016,Things,8,"17,83","142,64",28
Sara Snyder,Alabama,Est,Lois Baker,11/1/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,California,Ouest,Nicholas Schmidt,11/1/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Indiana,Est,Martha Mills,11/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Cynthia Lewis,11/1/2016,Stuff,7,"16,32","114,24",21
Diane Gonzalez,Nevada,Ouest,John Simpson,11/1/2016,Stuff,5,"16,32","81,6",15
Patrick Graham,California,Ouest,Frances Parker,11/1/2016,Things,6,"17,83","106,98",21
Randy Watson,New York,Est,Kenneth Lane,11/1/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Gloria Fisher,11/1/2016,Junk,5,"12,42","62,1",10
Frances Warren,New York,Est,Mark Alexander,11/1/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Evelyn Greene,11/1/2016,Things,6,"17,83","106,98",21
Patrick Graham,Washington,Ouest,Craig Thomas,11/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Nancy Scott,11/1/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Indiana,Est,Johnny Fowler,12/1/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Minnesota,Est,Cheryl Williamson,12/1/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Washington,Ouest,Joseph Willis,12/1/2016,Things,10,"17,83","178,3",35
Diane Gonzalez,California,Ouest,Beverly Jacobs,12/1/2016,Junk,3,"12,42","37,26",6
Randy Watson,Indiana,Est,Benjamin Willis,12/1/2016,Things,3,"17,83","53,49","10,5"
Diane Gonzalez,Nevada,Ouest,Donna Williams,12/1/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Washington,Ouest,Ernest Hernandez,12/1/2016,Stuff,8,"16,32","130,56",24
Sara Snyder,Indiana,Est,Benjamin Spencer,12/1/2016,Widgets,8,"53,35","426,8",48
Randy Watson,New York,Est,Kimberly Adams,12/1/2016,Widgets,9,"53,35","480,15",54
Randy Watson,Indiana,Est,Ernest Bishop,12/1/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Oregon,Ouest,Kevin Garza,12/1/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,Jason Berry,13/1/2016,Things,6,"17,83","106,98",21
Sara Snyder,Minnesota,Est,Martha Brown,13/1/2016,Stuff,9,"16,32","146,88",27
Randy Watson,Indiana,Est,Russell Day,13/1/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Indiana,Est,Sean Weaver,13/1/2016,Junk,6,"12,42","74,52",12
Sara Snyder,Minnesota,Est,Deborah Wells,13/1/2016,Junk,1,"12,42","12,42",2
Sara Snyder,New York,Est,Sandra Hicks,13/1/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,New York,Est,Gloria Harper,13/1/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,California,Ouest,Beverly Jacobs,13/1/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Alabama,Est,Sandra Meyer,13/1/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Sharon Rice,13/1/2016,Widgets,6,"53,35","320,1",36
Frances Warren,Minnesota,Est,Harold Schmidt,13/1/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Oregon,Ouest,Sharon Wagner,13/1/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Minnesota,Est,Carl Howard,13/1/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,Minnesota,Est,Matthew Carter,13/1/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Lillian Wood,13/1/2016,Stuff,6,"16,32","97,92",18
Diane Gonzalez,Oregon,Ouest,Terry Pierce,13/1/2016,Things,5,"17,83","89,15","17,5"
Randy Watson,Minnesota,Est,Kenneth Nelson,13/1/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,California,Ouest,Jacqueline Little,13/1/2016,Junk,10,"12,42","124,2",20
Randy Watson,Indiana,Est,David Allen,13/1/2016,Widgets,3,"53,35","160,05",18
Randy Watson,Minnesota,Est,Wanda Cole,13/1/2016,Junk,6,"12,42","74,52",12
Randy Watson,New York,Est,Anthony Berry,14/1/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,Alabama,Est,Anna Franklin,14/1/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Washington,Ouest,Gary Weaver,14/1/2016,Stuff,9,"16,32","146,88",27
Sara Snyder,Indiana,Est,David Allen,14/1/2016,Junk,9,"12,42","111,78",18
Randy Watson,New York,Est,Juan Wallace,14/1/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,California,Ouest,Kelly Wagner,14/1/2016,Junk,1,"12,42","12,42",2
Frances Warren,Minnesota,Est,Alice Davis,14/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Craig Mcdonald,14/1/2016,Things,5,"17,83","89,15","17,5"
Patrick Graham,Washington,Ouest,Gary Cook,14/1/2016,Widgets,8,"53,35","426,8",48
Diane Gonzalez,Washington,Ouest,Mildred Moore,14/1/2016,Junk,6,"12,42","74,52",12
Randy Watson,New York,Est,Wayne Rivera,15/1/2016,Junk,3,"12,42","37,26",6
Sara Snyder,New York,Est,Maria Johnston,15/1/2016,Things,6,"17,83","106,98",21
Randy Watson,Minnesota,Est,Louise Rivera,15/1/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Minnesota,Est,Heather Lawrence,15/1/2016,Things,3,"17,83","53,49","10,5"
Frances Warren,New York,Est,Jessica Lewis,15/1/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,New York,Est,Lois Castillo,15/1/2016,Things,7,"17,83","124,81","24,5"
Frances Warren,Minnesota,Est,Thomas Robinson,15/1/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,California,Ouest,Diana Hamilton,15/1/2016,Junk,5,"12,42","62,1",10
Patrick Graham,California,Ouest,Tina Schmidt,15/1/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,California,Ouest,Martha Bell,15/1/2016,Widgets,6,"53,35","320,1",36
Diane Gonzalez,California,Ouest,Rachel Stanley,15/1/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Indiana,Est,Marilyn Patterson,16/1/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Indiana,Est,Joshua Washington,16/1/2016,Junk,10,"12,42","124,2",20
Frances Warren,New York,Est,Christopher Oliver,16/1/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Indiana,Est,Maria Hughes,16/1/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Washington,Ouest,Marilyn Carpenter,16/1/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Theresa Ellis,16/1/2016,Widgets,5,"53,35","266,75",30
Sara Snyder,Minnesota,Est,Linda Morrison,16/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Linda Morrison,16/1/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Anthony Berry,16/1/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Alabama,Est,Annie Collins,16/1/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Brenda Cruz,16/1/2016,Widgets,8,"53,35","426,8",48
Patrick Graham,Washington,Ouest,Arthur Green,16/1/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,California,Ouest,Walter Reed,16/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Evelyn Greene,16/1/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Bonnie Wagner,17/1/2016,Things,8,"17,83","142,64",28
Frances Warren,New York,Est,Joan Harvey,17/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Joshua Washington,17/1/2016,Stuff,4,"16,32","65,28",12
Frances Warren,Minnesota,Est,Phillip Young,17/1/2016,Junk,10,"12,42","124,2",20
Randy Watson,New York,Est,Jeffrey Miller,17/1/2016,Widgets,1,"53,35","53,35",6
Patrick Graham,California,Ouest,Robin Murphy,17/1/2016,Stuff,9,"16,32","146,88",27
Patrick Graham,Oregon,Ouest,Brian Bryant,17/1/2016,Stuff,5,"16,32","81,6",15
Randy Watson,New York,Est,Billy Reed,17/1/2016,Things,5,"17,83","89,15","17,5"
Patrick Graham,California,Ouest,Kathy Porter,17/1/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Jean Torres,17/1/2016,Junk,5,"12,42","62,1",10
Randy Watson,New York,Est,Jimmy Bailey,17/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Jean Griffin,17/1/2016,Junk,10,"12,42","124,2",20
Frances Warren,Indiana,Est,Sean Weaver,18/1/2016,Widgets,9,"53,35","480,15",54
Diane Gonzalez,California,Ouest,Frances Parker,18/1/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,Minnesota,Est,Michael Foster,18/1/2016,Junk,4,"12,42","49,68",8
Randy Watson,Minnesota,Est,Cheryl Myers,18/1/2016,Junk,6,"12,42","74,52",12
Frances Warren,Minnesota,Est,Jerry Palmer,18/1/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Indiana,Est,Cynthia Mccoy,18/1/2016,Widgets,4,"53,35","213,4",24
Diane Gonzalez,Washington,Ouest,Charles Collins,18/1/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Juan Reed,18/1/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,Washington,Ouest,Gary Cook,18/1/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Minnesota,Est,Carolyn Scott,18/1/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Minnesota,Est,Martha Brown,18/1/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,Indiana,Est,Adam Russell,18/1/2016,Junk,1,"12,42","12,42",2
Sara Snyder,New York,Est,Debra Allen,18/1/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Lisa Morrison,18/1/2016,Things,2,"17,83","35,66",7
Patrick Graham,Washington,Ouest,Gary Weaver,18/1/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Ashley Spencer,18/1/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Jerry Davis,19/1/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Minnesota,Est,Alice Kelly,19/1/2016,Widgets,4,"53,35","213,4",24
Randy Watson,Minnesota,Est,Rose Baker,19/1/2016,Things,10,"17,83","178,3",35
Frances Warren,Minnesota,Est,Kevin Torres,19/1/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Joshua Campbell,19/1/2016,Things,10,"17,83","178,3",35
Frances Warren,New York,Est,Joshua Campbell,19/1/2016,Junk,10,"12,42","124,2",20
Randy Watson,Minnesota,Est,Harold Schmidt,19/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Jeremy Baker,19/1/2016,Junk,8,"12,42","99,36",16
Randy Watson,New York,Est,Kimberly Little,19/1/2016,Junk,6,"12,42","74,52",12
Randy Watson,New York,Est,Shirley Murray,19/1/2016,Junk,1,"12,42","12,42",2
Sara Snyder,New York,Est,Nancy Stephens,19/1/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Joe Ryan,19/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Wanda Cole,19/1/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Antonio Mason,19/1/2016,Things,8,"17,83","142,64",28
Randy Watson,New York,Est,Joan Thompson,19/1/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,New York,Est,Kimberly Adams,19/1/2016,Stuff,3,"16,32","48,96",9
Frances Warren,Minnesota,Est,Linda Morrison,20/1/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Virginia Foster,20/1/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Minnesota,Est,Janice Mason,20/1/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,Russell Cooper,20/1/2016,Stuff,4,"16,32","65,28",12
Frances Warren,Minnesota,Est,Roger Gomez,20/1/2016,Junk,5,"12,42","62,1",10
Randy Watson,Indiana,Est,Jacqueline Wheeler,20/1/2016,Junk,8,"12,42","99,36",16
Diane Gonzalez,California,Ouest,Gerald Mcdonald,20/1/2016,Junk,4,"12,42","49,68",8
Patrick Graham,California,Ouest,Angela Fowler,20/1/2016,Widgets,5,"53,35","266,75",30
Randy Watson,Indiana,Est,Martha Mills,20/1/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Indiana,Est,Adam Russell,20/1/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,Indiana,Est,Judith Gray,20/1/2016,Widgets,5,"53,35","266,75",30
Randy Watson,Indiana,Est,Anthony Ruiz,20/1/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,New York,Est,Frances Campbell,20/1/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Washington,Ouest,Craig Thomas,21/1/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,New York,Est,Joe Ryan,21/1/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Indiana,Est,Chris George,21/1/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Craig Mcdonald,21/1/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Alice Davis,21/1/2016,Widgets,5,"53,35","266,75",30
Patrick Graham,California,Ouest,Michelle Sanchez,21/1/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,New York,Est,Kenneth Lane,21/1/2016,Stuff,7,"16,32","114,24",21
Randy Watson,Minnesota,Est,Carolyn Scott,21/1/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Washington,Ouest,Jason Jackson,21/1/2016,Things,6,"17,83","106,98",21
Patrick Graham,Washington,Ouest,Beverly Garcia,21/1/2016,Junk,4,"12,42","49,68",8
Frances Warren,Alabama,Est,Alan Dean,21/1/2016,Junk,5,"12,42","62,1",10
Frances Warren,Alabama,Est,Cheryl Henderson,21/1/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Indiana,Est,Randy Willis,21/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Nevada,Ouest,Doris Diaz,21/1/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,New York,Est,Wayne Rivera,21/1/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Kathryn Fox,21/1/2016,Stuff,8,"16,32","130,56",24
Sara Snyder,Indiana,Est,Russell Day,21/1/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Indiana,Est,Joshua Washington,21/1/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Kimberly Morris,22/1/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Washington,Ouest,Philip Dean,22/1/2016,Widgets,4,"53,35","213,4",24
Diane Gonzalez,California,Ouest,Joan Robinson,22/1/2016,Stuff,3,"16,32","48,96",9
Frances Warren,New York,Est,Janet Freeman,22/1/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Nancy Stephens,22/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,California,Ouest,Nicholas Nguyen,22/1/2016,Junk,8,"12,42","99,36",16
Patrick Graham,California,Ouest,Angela Fowler,22/1/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Indiana,Est,David Allen,22/1/2016,Widgets,10,"53,35","533,5",60
Frances Warren,Indiana,Est,Anthony Ruiz,22/1/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Minnesota,Est,Christopher Pierce,22/1/2016,Junk,4,"12,42","49,68",8
Randy Watson,New York,Est,Kimberly Morris,22/1/2016,Things,2,"17,83","35,66",7
Sara Snyder,New York,Est,Raymond Collins,22/1/2016,Widgets,7,"53,35","373,45",42
